0,1,2,3,4,5,6,7,8,9,10
dishes,brown bread,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
bottled water,shopping bags,brown bread,,,,,,,,
instant coffee,processed cheese,,,,,,,,,
salty snack,tropical fruit,,,,,,,,,
beverages,root vegetables,frozen meals,,,,,,,,
sausage,frankfurter,napkins,soda,,,,,,,
dessert,yogurt,shopping bags,,,,,,,,
other vegetables,whole milk,rolls/buns,other vegetables,bottled water,whole milk,yogurt,other vegetables,,,
misc. beverages,bottled water,,,,,,,,,
sausage,whole milk,,,,,,,,,
sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
herbs,yogurt,misc. beverages,,,,,,,,
brown bread,detergent,,,,,,,,,
newspapers,waffles,shopping bags,,,,,,,,
instant coffee,newspapers,,,,,,,,,
pastry,fruit/vegetable juice,,,,,,,,,
tropical fruit,bottled water,cream cheese ,,,,,,,,
tropical fruit,soda,,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
newspapers,roll products ,,,,,,,,,
beef,chocolate marshmallow,margarine,,,,,,,,
tropical fruit,candy,,,,,,,,,
rolls/buns,soda,,,,,,,,,
frankfurter,root vegetables,yogurt,whole milk,,,,,,,
frankfurter,mustard,shopping bags,,,,,,,,
pip fruit,newspapers,fruit/vegetable juice,,,,,,,,
canned beer,tropical fruit,margarine,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
tropical fruit,newspapers,,,,,,,,,
chicken,other vegetables,,,,,,,,,
hamburger meat,detergent,flour,,,,,,,,
turkey,shopping bags,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
chicken,tropical fruit,salt,,,,,,,,
whole milk,UHT-milk,canned beer,whole milk,coffee,house keeping products,other vegetables,pip fruit,,,
ice cream,pasta,,,,,,,,,
margarine,liquor,,,,,,,,,
frankfurter,brown bread,,,,,,,,,
curd,cream cheese ,domestic eggs,,,,,,,,
cocoa drinks,bottled water,sweet spreads,,,,,,,,
root vegetables,dessert,,,,,,,,,
misc. beverages,whole milk,,,,,,,,,
beef,bottled beer,herbs,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
soft cheese,pip fruit,whole milk,,,,,,,,
soda,spices,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
hard cheese,rolls/buns,white wine,,,,,,,,
bottled water,whisky,,,,,,,,,
bottled beer,other vegetables,butter,,,,,,,,
chicken,other vegetables,,,,,,,,,
ketchup,potato products,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
yogurt,frozen meals,frozen vegetables,,,,,,,,
frozen meals,rolls/buns,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
berries,other vegetables,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
ham,chicken,condensed milk,other vegetables,whipped/sour cream,,,,,,
bottled beer,pastry,,,,,,,,,
rolls/buns,make up remover,,,,,,,,,
salty snack,shopping bags,,,,,,,,,
sausage,yogurt,,,,,,,,,
seasonal products,butter,ice cream,,,,,,,,
meat,waffles,,,,,,,,,
herbs,root vegetables,,,,,,,,,
cream cheese ,UHT-milk,,,,,,,,,
specialty bar,yogurt,,,,,,,,,
meat,fruit/vegetable juice,long life bakery product,bottled water,,,,,,,
liquor,bottled water,,,,,,,,,
whole milk,pasta,whipped/sour cream,,,,,,,,
butter,cake bar,ice cream,fruit/vegetable juice,,,,,,,
meat,rolls/buns,,,,,,,,,
sausage,margarine,,,,,,,,,
pastry,tropical fruit,citrus fruit,coffee,,,,,,,
ham,domestic eggs,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
beef,frozen vegetables,,,,,,,,,
semi-finished bread,flour,,,,,,,,,
shopping bags,root vegetables,sliced cheese,,,,,,,,
pastry,waffles,,,,,,,,,
frankfurter,sausage,packaged fruit/vegetables,yogurt,bottled beer,shopping bags,,,,,
berries,bottled beer,,,,,,,,,
berries,whole milk,,,,,,,,,
domestic eggs,UHT-milk,,,,,,,,,
UHT-milk,bottled beer,,,,,,,,,
long life bakery product,UHT-milk,whole milk,,,,,,,,
butter,frozen dessert,whole milk,,,,,,,,
tropical fruit,detergent,,,,,,,,,
brown bread,pip fruit,,,,,,,,,
soda,white bread,fruit/vegetable juice,,,,,,,,
pickled vegetables,soda,,,,,,,,,
coffee,whole milk,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
whole milk,butter,,,,,,,,,
hamburger meat,whole milk,rolls/buns,yogurt,frozen vegetables,,,,,,
processed cheese,frozen potato products,Instant food products,,,,,,,,
root vegetables,white wine,liquor (appetizer),,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
yogurt,cream cheese ,fruit/vegetable juice,,,,,,,,
pork,processed cheese,,,,,,,,,
hamburger meat,dessert,sliced cheese,,,,,,,,
sliced cheese,root vegetables,,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
frozen vegetables,canned beer,brown bread,soda,,,,,,,
rolls/buns,detergent,shopping bags,,,,,,,,
rolls/buns,berries,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
yogurt,coffee,coffee,,,,,,,,
domestic eggs,whole milk,bottled water,,,,,,,,
cream cheese ,dessert,,,,,,,,,
other vegetables,semi-finished bread,other vegetables,rolls/buns,shopping bags,salty snack,,,,,
tropical fruit,artif. sweetener,,,,,,,,,
whole milk,pork,rolls/buns,yogurt,,,,,,,
rolls/buns,ice cream,,,,,,,,,
specialty chocolate,liquor,,,,,,,,,
bottled water,misc. beverages,fruit/vegetable juice,,,,,,,,
shopping bags,napkins,,,,,,,,,
pork,margarine,,,,,,,,,
pip fruit,other vegetables,rolls/buns,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
beverages,whipped/sour cream,,,,,,,,,
chicken,citrus fruit,,,,,,,,,
margarine,napkins,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
other vegetables,long life bakery product,,,,,,,,,
sliced cheese,pudding powder,,,,,,,,,
whole milk,yogurt,,,,,,,,,
zwieback,citrus fruit,,,,,,,,,
rolls/buns,dishes,,,,,,,,,
flour,tropical fruit,,,,,,,,,
sausage,dessert,,,,,,,,,
specialty bar,bottled water,dental care,,,,,,,,
cream cheese ,whole milk,brown bread,whole milk,,,,,,,
soda,frozen meals,,,,,,,,,
beef,beef,margarine,,,,,,,,
root vegetables,yogurt,,,,,,,,,
condensed milk,hard cheese,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
whole milk,butter,,,,,,,,,
rolls/buns,sausage,curd,whole milk,butter milk,margarine,white bread,yogurt,,,
citrus fruit,rum,,,,,,,,,
tropical fruit,brown bread,,,,,,,,,
hard cheese,whipped/sour cream,,,,,,,,,
root vegetables,rolls/buns,Instant food products,,,,,,,,
shopping bags,hygiene articles,,,,,,,,,
condensed milk,pastry,,,,,,,,,
root vegetables,soda,,,,,,,,,
hamburger meat,salty snack,shopping bags,,,,,,,,
tropical fruit,rolls/buns,candy,,,,,,,,
canned beer,berries,bottled water,,,,,,,,
root vegetables,hard cheese,waffles,,,,,,,,
other vegetables,margarine,,,,,,,,,
rolls/buns,liquor (appetizer),,,,,,,,,
chocolate,cat food,,,,,,,,,
ice cream,red/blush wine,fruit/vegetable juice,,,,,,,,
root vegetables,frozen potato products,,,,,,,,,
pork,waffles,tropical fruit,pork,canned beer,whipped/sour cream,newspapers,cream cheese ,,,
soda,onions,cream cheese ,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
sausage,pork,,,,,,,,,
brown bread,hair spray,,,,,,,,,
rolls/buns,salty snack,bottled water,shopping bags,,,,,,,
curd,photo/film,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
chicken,sugar,,,,,,,,,
hygiene articles,white bread,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
brown bread,frozen fish,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
tropical fruit,whole milk,rolls/buns,cream cheese ,whole milk,shopping bags,,,,,
brown bread,soda,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
butter milk,canned beer,yogurt,semi-finished bread,margarine,,,,,,
beef,rolls/buns,,,,,,,,,
bottled water,domestic eggs,frozen meals,,,,,,,,
beef,yogurt,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
root vegetables,semi-finished bread,canned beer,newspapers,,,,,,,
whole milk,newspapers,,,,,,,,,
oil,other vegetables,,,,,,,,,
whole milk,curd,bottled beer,,,,,,,,
berries,hamburger meat,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
rolls/buns,newspapers,specialty fat,domestic eggs,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
whole milk,white bread,,,,,,,,,
soda,other vegetables,frozen vegetables,,,,,,,,
soda,whole milk,shopping bags,,,,,,,,
napkins,fruit/vegetable juice,,,,,,,,,
sausage,red/blush wine,,,,,,,,,
rolls/buns,other vegetables,curd,spread cheese,candles,,,,,,
whipped/sour cream,misc. beverages,,,,,,,,,
hamburger meat,frozen vegetables,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
bottled water,frozen meals,,,,,,,,,
hard cheese,waffles,,,,,,,,,
whole milk,whole milk,napkins,,,,,,,,
sausage,domestic eggs,,,,,,,,,
soda,soda,,,,,,,,,
brown bread,newspapers,margarine,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
soda,frozen meals,soft cheese,curd,,,,,,,
whole milk,whole milk,sausage,newspapers,soda,flour,bottled water,liquor,,,
canned beer,rolls/buns,,,,,,,,,
chewing gum,newspapers,candy,,,,,,,,
pip fruit,whole milk,,,,,,,,,
chicken,margarine,waffles,,,,,,,,
root vegetables,whole milk,,,,,,,,,
frankfurter,soda,chocolate,,,,,,,,
chicken,other vegetables,,,,,,,,,
rolls/buns,frankfurter,soda,canned fish,,,,,,,
tropical fruit,soda,,,,,,,,,
soft cheese,coffee,,,,,,,,,
beef,root vegetables,,,,,,,,,
rolls/buns,root vegetables,specialty chocolate,,,,,,,,
coffee,soda,photo/film,domestic eggs,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
whole milk,newspapers,frozen vegetables,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
yogurt,coffee,,,,,,,,,
ham,whole milk,whole milk,soda,,,,,,,
meat,citrus fruit,chocolate,pastry,rolls/buns,,,,,,
whole milk,pip fruit,,,,,,,,,
yogurt,newspapers,,,,,,,,,
beverages,tropical fruit,ham,flour,,,,,,,
grapes,long life bakery product,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
processed cheese,rolls/buns,oil,flour,,,,,,,
liver loaf,margarine,cat food,,,,,,,,
liver loaf,hamburger meat,sausage,whole milk,whipped/sour cream,other vegetables,white bread,whole milk,rolls/buns,,
pip fruit,pastry,,,,,,,,,
citrus fruit,soda,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
chocolate marshmallow,other vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
other vegetables,yogurt,specialty bar,,,,,,,,
yogurt,butter,,,,,,,,,
whole milk,whipped/sour cream,domestic eggs,house keeping products,,,,,,,
curd,rice,other vegetables,canned fish,,,,,,,
whole milk,rolls/buns,waffles,,,,,,,,
sausage,sausage,domestic eggs,dish cleaner,rolls/buns,other vegetables,soda,,,,
root vegetables,sausage,condensed milk,other vegetables,canned beer,white bread,hard cheese,frozen vegetables,,,
instant coffee,berries,,,,,,,,,
soda,tropical fruit,domestic eggs,domestic eggs,,,,,,,
citrus fruit,citrus fruit,soda,,,,,,,,
misc. beverages,rice,soda,,,,,,,,
other vegetables,newspapers,,,,,,,,,
curd cheese,pastry,,,,,,,,,
sugar,brown bread,,,,,,,,,
other vegetables,curd,,,,,,,,,
canned beer,brown bread,,,,,,,,,
pork,pip fruit,,,,,,,,,
sausage,onions,misc. beverages,,,,,,,,
hard cheese,sweet spreads,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
citrus fruit,pork,pip fruit,yogurt,brown bread,male cosmetics,,,,,
other vegetables,other vegetables,other vegetables,hamburger meat,soda,soft cheese,waffles,,,,
whole milk,dish cleaner,,,,,,,,,
sausage,pip fruit,,,,,,,,,
other vegetables,hard cheese,,,,,,,,,
frankfurter,yogurt,cat food,,,,,,,,
whipped/sour cream,toilet cleaner,,,,,,,,,
long life bakery product,citrus fruit,rolls/buns,,,,,,,,
beverages,sliced cheese,semi-finished bread,,,,,,,,
bottled beer,soups,detergent,,,,,,,,
butter,rolls/buns,,,,,,,,,
shopping bags,shopping bags,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
white bread,cream cheese ,,,,,,,,,
rum,yogurt,,,,,,,,,
citrus fruit,pastry,dish cleaner,,,,,,,,
dessert,shopping bags,,,,,,,,,
root vegetables,fruit/vegetable juice,,,,,,,,,
tropical fruit,root vegetables,detergent,,,,,,,,
beef,pastry,candy,,,,,,,,
pip fruit,soda,jam,,,,,,,,
whole milk,sugar,,,,,,,,,
whole milk,soda,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
soda,pip fruit,,,,,,,,,
hamburger meat,oil,,,,,,,,,
waffles,chicken,hard cheese,dishes,,,,,,,
sausage,bottled water,,,,,,,,,
oil,bottled water,,,,,,,,,
newspapers,rolls/buns,newspapers,,,,,,,,
coffee,root vegetables,whipped/sour cream,,,,,,,,
yogurt,chewing gum,whipped/sour cream,shopping bags,,,,,,,
white bread,domestic eggs,,,,,,,,,
whole milk,margarine,dessert,,,,,,,,
flour,UHT-milk,,,,,,,,,
frozen potato products,salt,coffee,,,,,,,,
frankfurter,soda,,,,,,,,,
long life bakery product,whole milk,,,,,,,,,
pip fruit,pip fruit,sliced cheese,dishes,,,,,,,
tea,pip fruit,,,,,,,,,
onions,specialty chocolate,canned fruit,,,,,,,,
whole milk,female sanitary products,,,,,,,,,
canned beer,pip fruit,,,,,,,,,
sausage,soda,candy,,,,,,,,
root vegetables,dessert,whisky,,,,,,,,
tropical fruit,curd,brown bread,pastry,,,,,,,
curd,soda,,,,,,,,,
citrus fruit,semi-finished bread,yogurt,,,,,,,,
frozen vegetables,yogurt,shopping bags,,,,,,,,
other vegetables,citrus fruit,canned beer,,,,,,,,
root vegetables,waffles,,,,,,,,,
sausage,specialty cheese,,,,,,,,,
frankfurter,hygiene articles,rolls/buns,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
rolls/buns,whipped/sour cream,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
pickled vegetables,cream cheese ,,,,,,,,,
yogurt,whole milk,,,,,,,,,
root vegetables,hygiene articles,newspapers,,,,,,,,
light bulbs,pastry,UHT-milk,baking powder,,,,,,,
soda,other vegetables,,,,,,,,,
canned beer,grapes,whole milk,dessert,,,,,,,
whole milk,rolls/buns,,,,,,,,,
whole milk,hard cheese,soda,,,,,,,,
whole milk,male cosmetics,,,,,,,,,
sausage,napkins,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
butter,chewing gum,coffee,salty snack,,,,,,,
meat,specialty cheese,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
sausage,frozen dessert,,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
citrus fruit,citrus fruit,,,,,,,,,
berries,beverages,pastry,napkins,,,,,,,
sausage,bottled beer,onions,other vegetables,soda,,,,,,
pork,pip fruit,,,,,,,,,
pork,male cosmetics,pastry,chewing gum,brandy,,,,,,
citrus fruit,whole milk,beef,shopping bags,,,,,,,
meat,dessert,,,,,,,,,
yogurt,yogurt,other vegetables,sliced cheese,,,,,,,
bottled beer,whole milk,,,,,,,,,
beef,whole milk,detergent,,,,,,,,
sliced cheese,soda,oil,syrup,,,,,,,
frankfurter,chicken,cocoa drinks,onions,whole milk,UHT-milk,canned fish,bottled beer,,,
pet care,photo/film,,,,,,,,,
newspapers,long life bakery product,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
misc. beverages,other vegetables,specialty chocolate,,,,,,,,
frankfurter,hamburger meat,,,,,,,,,
bottled water,curd,semi-finished bread,,,,,,,,
whole milk,beef,beverages,yogurt,,,,,,,
tropical fruit,margarine,,,,,,,,,
canned beer,sausage,onions,canned beer,,,,,,,
UHT-milk,citrus fruit,frozen vegetables,,,,,,,,
pork,cereals,,,,,,,,,
root vegetables,baking powder,,,,,,,,,
bottled beer,canned beer,,,,,,,,,
packaged fruit/vegetables,dog food,,,,,,,,,
berries,soda,butter,other vegetables,white bread,cream cheese ,,,,,
whole milk,soda,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
bottled beer,other vegetables,salty snack,,,,,,,,
soda,margarine,specialty chocolate,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
candy,domestic eggs,,,,,,,,,
other vegetables,meat,soda,whipped/sour cream,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
canned beer,ice cream,newspapers,pastry,bottled beer,,,,,,
coffee,whole milk,,,,,,,,,
pip fruit,whole milk,tropical fruit,,,,,,,,
packaged fruit/vegetables,white wine,,,,,,,,,
beef,whole milk,candy,,,,,,,,
rolls/buns,yogurt,,,,,,,,,
yogurt,bottled beer,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
beverages,cake bar,cake bar,frozen meals,,,,,,,
sausage,butter milk,beverages,,,,,,,,
white bread,pip fruit,,,,,,,,,
tropical fruit,pip fruit,root vegetables,pet care,,,,,,,
root vegetables,ice cream,margarine,,,,,,,,
coffee,citrus fruit,,,,,,,,,
onions,frozen vegetables,,,,,,,,,
whole milk,pasta,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
sausage,soda,,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
chicken,pastry,,,,,,,,,
whole milk,ice cream,soda,yogurt,spices,,,,,,
grapes,rolls/buns,,,,,,,,,
pastry,ketchup,,,,,,,,,
other vegetables,butter,,,,,,,,,
candy,candy,,,,,,,,,
pet care,photo/film,,,,,,,,,
butter,citrus fruit,margarine,soda,whole milk,roll products ,,,,,
tropical fruit,grapes,,,,,,,,,
rolls/buns,yogurt,fruit/vegetable juice,,,,,,,,
other vegetables,instant coffee,instant coffee,hygiene articles,,,,,,,
bags,other vegetables,,,,,,,,,
sausage,other vegetables,,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
berries,rolls/buns,,,,,,,,,
whole milk,butter milk,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
pork,rum,,,,,,,,,
long life bakery product,ketchup,,,,,,,,,
yogurt,coffee,candy,candles,,,,,,,
sausage,beef,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pastry,specialty cheese,soap,rolls/buns,,,,,,,
newspapers,napkins,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
detergent,root vegetables,fruit/vegetable juice,brown bread,,,,,,,
white bread,bottled water,,,,,,,,,
sausage,white wine,,,,,,,,,
bottled beer,rolls/buns,ice cream,pastry,,,,,,,
frozen dessert,berries,,,,,,,,,
other vegetables,specialty chocolate,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
spread cheese,specialty chocolate,sugar,,,,,,,,
pastry,bottled beer,,,,,,,,,
sausage,sparkling wine,,,,,,,,,
rolls/buns,newspapers,shopping bags,,,,,,,,
specialty chocolate,coffee,,,,,,,,,
vinegar,grapes,frozen vegetables,,,,,,,,
frankfurter,beef,soda,rolls/buns,pastry,bottled water,ketchup,pastry,,,
other vegetables,shopping bags,shopping bags,,,,,,,,
butter milk,waffles,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
meat,misc. beverages,,,,,,,,,
chicken,curd,,,,,,,,,
detergent,fruit/vegetable juice,,,,,,,,,
soda,specialty bar,tidbits,,,,,,,,
pastry,whole milk,,,,,,,,,
citrus fruit,soda,,,,,,,,,
soda,frozen dessert,canned fish,,,,,,,,
sausage,sliced cheese,,,,,,,,,
pork,frozen meals,margarine,dessert,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
chewing gum,sugar,,,,,,,,,
soda,tropical fruit,,,,,,,,,
coffee,yogurt,,,,,,,,,
flower (seeds),honey,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
root vegetables,dessert,,,,,,,,,
photo/film,pastry,,,,,,,,,
pet care,dog food,,,,,,,,,
soda,beef,beef,rolls/buns,shopping bags,chocolate,processed cheese,brown bread,dessert,,
meat,whole milk,whole milk,yogurt,,,,,,,
frozen dessert,flower (seeds),,,,,,,,,
whipped/sour cream,pickled vegetables,dish cleaner,,,,,,,,
rolls/buns,salty snack,,,,,,,,,
citrus fruit,candy,,,,,,,,,
newspapers,whole milk,waffles,,,,,,,,
canned beer,yogurt,tropical fruit,whole milk,,,,,,,
bottled beer,sugar,popcorn,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
meat,butter milk,,,,,,,,,
canned vegetables,whole milk,,,,,,,,,
chicken,pastry,waffles,,,,,,,,
whipped/sour cream,curd,shopping bags,,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
sparkling wine,softener,,,,,,,,,
meat spreads,sliced cheese,,,,,,,,,
ham,cream cheese ,,,,,,,,,
sausage,whipped/sour cream,,,,,,,,,
chocolate,other vegetables,,,,,,,,,
liver loaf,onions,,,,,,,,,
sausage,sugar,semi-finished bread,,,,,,,,
bottled water,beverages,pastry,,,,,,,,
whole milk,whole milk,,,,,,,,,
frankfurter,beverages,,,,,,,,,
soda,white bread,chocolate,sugar,,,,,,,
dessert,root vegetables,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
meat,other vegetables,,,,,,,,,
berries,grapes,onions,,,,,,,,
soda,yogurt,,,,,,,,,
napkins,newspapers,,,,,,,,,
hygiene articles,other vegetables,,,,,,,,,
onions,whipped/sour cream,,,,,,,,,
frankfurter,curd,,,,,,,,,
packaged fruit/vegetables,sweet spreads,,,,,,,,,
bottled water,curd,,,,,,,,,
other vegetables,pickled vegetables,hard cheese,,,,,,,,
other vegetables,napkins,,,,,,,,,
pork,whole milk,,,,,,,,,
specialty chocolate,candles,,,,,,,,,
whole milk,whole milk,citrus fruit,light bulbs,,,,,,,
herbs,specialty chocolate,red/blush wine,salad dressing,,,,,,,
pip fruit,newspapers,root vegetables,,,,,,,,
root vegetables,yogurt,bottled water,,,,,,,,
pork,pastry,,,,,,,,,
whole milk,salty snack,,,,,,,,,
citrus fruit,beef,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
berries,coffee,margarine,,,,,,,,
chicken,male cosmetics,,,,,,,,,
canned beer,soda,,,,,,,,,
roll products ,butter milk,,,,,,,,,
kitchen towels,sliced cheese,,,,,,,,,
tropical fruit,fruit/vegetable juice,,,,,,,,,
shopping bags,yogurt,,,,,,,,,
tropical fruit,grapes,,,,,,,,,
berries,canned fish,,,,,,,,,
beef,yogurt,,,,,,,,,
yogurt,ice cream,,,,,,,,,
whole milk,bottled water,UHT-milk,candy,,,,,,,
pip fruit,hard cheese,,,,,,,,,
soda,soda,canned beer,frozen dessert,tropical fruit,whole milk,bottled water,specialty bar,domestic eggs,,
rolls/buns,soda,,,,,,,,,
bottled water,frozen potato products,,,,,,,,,
ham,bottled beer,,,,,,,,,
ham,pastry,,,,,,,,,
hard cheese,whole milk,,,,,,,,,
newspapers,syrup,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
pip fruit,light bulbs,bottled water,ketchup,,,,,,,
brown bread,dessert,,,,,,,,,
whole milk,soda,,,,,,,,,
butter,sweet spreads,sliced cheese,,,,,,,,
spread cheese,whole milk,,,,,,,,,
beef,soft cheese,,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
whole milk,rolls/buns,other vegetables,margarine,,,,,,,
curd,ice cream,,,,,,,,,
frozen vegetables,butter,,,,,,,,,
pastry,UHT-milk,,,,,,,,,
onions,soda,,,,,,,,,
root vegetables,male cosmetics,,,,,,,,,
detergent,newspapers,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
coffee,oil,newspapers,,,,,,,,
whipped/sour cream,cake bar,,,,,,,,,
waffles,yogurt,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
root vegetables,sugar,bottled water,white bread,,,,,,,
kitchen towels,rolls/buns,,,,,,,,,
hair spray,chocolate,rolls/buns,,,,,,,,
dessert,dental care,waffles,,,,,,,,
newspapers,sausage,sugar,,,,,,,,
misc. beverages,chocolate,,,,,,,,,
fish,fruit/vegetable juice,,,,,,,,,
onions,specialty bar,,,,,,,,,
specialty fat,brandy,,,,,,,,,
turkey,herbs,white bread,,,,,,,,
packaged fruit/vegetables,dishes,,,,,,,,,
pastry,yogurt,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
soda,bottled water,,,,,,,,,
canned vegetables,fish,,,,,,,,,
margarine,fruit/vegetable juice,,,,,,,,,
whole milk,hamburger meat,canned beer,fruit/vegetable juice,,,,,,,
canned beer,whole milk,onions,coffee,,,,,,,
root vegetables,yogurt,napkins,,,,,,,,
grapes,onions,,,,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
sausage,whole milk,,,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
whole milk,hamburger meat,pip fruit,curd,margarine,instant coffee,misc. beverages,,,,
hard cheese,waffles,misc. beverages,,,,,,,,
curd,cling film/bags,candy,rolls/buns,,,,,,,
pip fruit,white wine,,,,,,,,,
fruit/vegetable juice,napkins,,,,,,,,,
turkey,shopping bags,whole milk,,,,,,,,
whole milk,canned beer,,,,,,,,,
sausage,chicken,margarine,yogurt,,,,,,,
root vegetables,specialty chocolate,whisky,,,,,,,,
chewing gum,coffee,margarine,,,,,,,,
canned beer,detergent,root vegetables,root vegetables,butter milk,,,,,,
soda,oil,,,,,,,,,
meat spreads,butter,,,,,,,,,
soda,yogurt,white bread,,,,,,,,
white bread,meat,domestic eggs,roll products ,,,,,,,
meat,curd,,,,,,,,,
sausage,bottled beer,,,,,,,,,
tropical fruit,yogurt,brown bread,shopping bags,,,,,,,
sugar,whipped/sour cream,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
whipped/sour cream,meat spreads,,,,,,,,,
citrus fruit,soda,,,,,,,,,
pastry,waffles,,,,,,,,,
domestic eggs,bottled beer,,,,,,,,,
yogurt,margarine,,,,,,,,,
beef,shopping bags,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
whole milk,coffee,,,,,,,,,
yogurt,salty snack,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
whole milk,pastry,,,,,,,,,
dental care,curd,,,,,,,,,
salty snack,soda,oil,,,,,,,,
red/blush wine,salty snack,,,,,,,,,
pork,pork,margarine,other vegetables,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
yogurt,bottled water,,,,,,,,,
turkey,whole milk,,,,,,,,,
beef,whole milk,frozen vegetables,soda,,,,,,,
chicken,tropical fruit,waffles,whipped/sour cream,brown bread,,,,,,
ham,cream cheese ,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
ham,specialty bar,,,,,,,,,
honey,salty snack,,,,,,,,,
tidbits,cream cheese ,,,,,,,,,
berries,pastry,soda,,,,,,,,
whipped/sour cream,yogurt,,,,,,,,,
meat,whole milk,ready soups,,,,,,,,
whole milk,grapes,chocolate,pot plants,,,,,,,
tropical fruit,margarine,,,,,,,,,
beverages,rolls/buns,,,,,,,,,
margarine,other vegetables,,,,,,,,,
canned beer,sliced cheese,long life bakery product,pasta,,,,,,,
tropical fruit,berries,beef,butter milk,yogurt,sliced cheese,,,,,
specialty cheese,brown bread,margarine,,,,,,,,
other vegetables,other vegetables,pip fruit,specialty bar,,,,,,,
chicken,root vegetables,,,,,,,,,
whole milk,ham,other vegetables,rum,canned beer,,,,,,
sausage,packaged fruit/vegetables,,,,,,,,,
whole milk,yogurt,yogurt,rolls/buns,,,,,,,
